image_id      True_Positive       Precision                    Recall
000180.jpg             1          1.0                           0.00021621621621621621
000277.jpg             2          1.0                           0.00043233895373973193
000306.jpg             2          0.6666666666666666                           0.00043233895373973193
000565.jpg             3          0.75                           0.0006483682731791658
000727.jpg             4          0.8                           0.000864304235090752
000825.jpg             5          0.8333333333333334                           0.001080146899978397
000876.jpg             6          0.8571428571428571                           0.0012958963282937365
000987.jpg             7          0.875                           0.0015115525804361909
000989.jpg             7          0.7777777777777778                           0.0015115525804361909
001145.jpg             8          0.8                           0.0017271157167530224
001367.jpg             9          0.8181818181818182                           0.0019425857975393912
001382.jpg             10          0.8333333333333334                           0.0021579628830384117
001414.jpg             10          0.7692307692307693                           0.0021579628830384117
001568.jpg             11          0.7857142857142857                           0.0023732470334412083
001854.jpg             12          0.8                           0.0025884383088869713
002028.jpg             13          0.8125                           0.0028035367694630147
002056.jpg             13          0.7647058823529411                           0.0028035367694630147
002123.jpg             14          0.7777777777777778                           0.00301854247520483
002154.jpg             14          0.7368421052631579                           0.00301854247520483
002429.jpg             14          0.7                           0.00301854247520483
002622.jpg             14          0.6666666666666666                           0.00301854247520483
002856.jpg             15          0.6818181818181818                           0.0032334554860961413
002993.jpg             16          0.6956521739130435                           0.0034482758620689655
003410.jpg             17          0.7083333333333334                           0.003663003663003663
003437.jpg             18          0.72                           0.003877638948728996
003524.jpg             18          0.6923076923076923                           0.003877638948728996
003628.jpg             18          0.6666666666666666                           0.003877638948728996
003884.jpg             19          0.6785714285714286                           0.004092181779022184
003907.jpg             20          0.6896551724137931                           0.004306632213608958
003926.jpg             21          0.7                           0.004520990312163617
004074.jpg             22          0.7096774193548387                           0.004735256134309083
004093.jpg             22          0.6875                           0.004735256134309083
004369.jpg             23          0.696969696969697                           0.004949429739616957
004397.jpg             24          0.7058823529411765                           0.0051635111876075735
004584.jpg             25          0.7142857142857143                           0.005377500537750054
004595.jpg             25          0.6944444444444444                           0.005377500537750054
004710.jpg             25          0.6756756756756757                           0.005377500537750054
004739.jpg             26          0.6842105263157895                           0.005591397849462366
005104.jpg             27          0.6923076923076923                           0.005805203182111374
005109.jpg             28          0.7                           0.0060189165950128975
005412.jpg             28          0.6829268292682927                           0.0060189165950128975
005455.jpg             29          0.6904761904761905                           0.006232538147431765
005664.jpg             29          0.6744186046511628                           0.006232538147431765
005765.jpg             29          0.6590909090909091                           0.006232538147431765
006156.jpg             29          0.6444444444444445                           0.006232538147431765
006282.jpg             29          0.6304347826086957                           0.006232538147431765
006365.jpg             30          0.6382978723404256                           0.006446067898581865
006452.jpg             31          0.6458333333333334                           0.006659505907626208
006512.jpg             31          0.6326530612244898                           0.006659505907626208
006591.jpg             32          0.64                           0.006872852233676976
006745.jpg             33          0.6470588235294118                           0.0070861069357955764
006916.jpg             34          0.6538461538461539                           0.0072992700729927005
007103.jpg             35          0.660377358490566                           0.007512341704228375
007107.jpg             35          0.6481481481481481                           0.007512341704228375
007150.jpg             36          0.6545454545454545                           0.007725321888412017
007158.jpg             36          0.6428571428571429                           0.007725321888412017
007216.jpg             36          0.631578947368421                           0.007725321888412017
007413.jpg             37          0.6379310344827587                           0.007938210684402489
007446.jpg             37          0.6271186440677966                           0.007938210684402489
007641.jpg             38          0.6333333333333333                           0.008151008151008152
007710.jpg             39          0.639344262295082                           0.008363714346986918
007983.jpg             40          0.6451612903225806                           0.008576329331046312
008064.jpg             41          0.6507936507936508                           0.008788853161843515
008284.jpg             42          0.65625                           0.009001285897985427
008349.jpg             42          0.6461538461538462                           0.009001285897985427
008482.jpg             43          0.6515151515151515                           0.009213627598028712
008519.jpg             43          0.6417910447761194                           0.009213627598028712
008575.jpg             43          0.6323529411764706                           0.009213627598028712
009197.jpg             44          0.6376811594202898                           0.009425878320479864
009238.jpg             44          0.6285714285714286                           0.009425878320479864
009399.jpg             45          0.6338028169014085                           0.009638038123795245
009466.jpg             46          0.6388888888888888                           0.009850107066381156
009653.jpg             47          0.6438356164383562                           0.010062085206593878
009656.jpg             48          0.6486486486486487                           0.010273972602739725
009658.jpg             48          0.64                           0.010273972602739725
009698.jpg             49          0.6447368421052632                           0.010485769313075112
009703.jpg             50          0.6493506493506493                           0.01069747539580659
010129.jpg             51          0.6538461538461539                           0.01090909090909091
010224.jpg             52          0.6582278481012658                           0.011120615911035072
010241.jpg             52          0.65                           0.011120615911035072
010243.jpg             53          0.654320987654321                           0.011332050459696387
010244.jpg             54          0.6585365853658537                           0.011543394613082514
010280.jpg             55          0.6626506024096386                           0.011754648429151528
010366.jpg             56          0.6666666666666666                           0.011965811965811967
010461.jpg             57          0.6705882352941176                           0.01217688528092288
010481.jpg             58          0.6744186046511628                           0.012387868432293891
010558.jpg             58          0.6666666666666666                           0.012387868432293891
010582.jpg             59          0.6704545454545454                           0.012598761477685244
010594.jpg             59          0.6629213483146067                           0.012598761477685244
010716.jpg             60          0.6666666666666666                           0.012809564474807857
010745.jpg             61          0.6703296703296703                           0.013020277481323372
